##################################################
{'imbalan_ratio': 1.0, 'fil_num': 100, 'drop_rate': 0.5, 'batch_size': 8, 'balanced': 0, 'roi_threshold': 0.6, 'roi_count': 200, 'choice': 'count', 'learning_rate': 0.01, 'train_epochs': 300}
train confusion matrix  [[71, 1], [0, 112]]  accuracy  0.9945652173913043
valid confusion matrix  [[5, 6], [2, 10]]  accuracy  0.6521739130434783
test confusion matrix  [[9, 11], [2, 9]]  accuracy  0.5806451612903226
train confusion matrix  [[72, 0], [0, 112]]  accuracy  1.0
valid confusion matrix  [[7, 4], [3, 9]]  accuracy  0.6956521739130435
test confusion matrix  [[13, 7], [4, 7]]  accuracy  0.6451612903225806
train confusion matrix  [[72, 0], [0, 112]]  accuracy  1.0
valid confusion matrix  [[6, 5], [2, 10]]  accuracy  0.6956521739130435
test confusion matrix  [[11, 9], [3, 8]]  accuracy  0.6129032258064516
ADNI test accuracy  A 0.6129+/-0.0263
